"u","area_q025","area_q50","area_q975","area_MAP","u_from","u_to","land_use_change","time"
"urban_to_woods",2.25933482924478,33.8339962552189,105.791755665218,25.5055613256983,"urban","woods","urban_to_woods",1955
"woods_to_crops",0.50357209511843,11.9599869507117,55.3213821836156,8.8298432656191,"woods","crops","woods_to_crops",1955
"woods_to_grass",0.750773021185159,21.3192801432136,83.5248877702022,35.7431323745967,"woods","grass","woods_to_grass",1955
"woods_to_other",0.940644717704499,16.6413518022009,63.7641803038601,1.98450290326344,"woods","other","woods_to_other",1955
"woods_to_rough",0.414690039244274,18.5314976443852,66.3737037895782,24.4968845952182,"woods","rough","woods_to_rough",1955
"woods_to_urban",0.594962136960742,14.4821915049323,52.4133254931836,35.1389565067796,"woods","urban","woods_to_urban",1955
"crops_to_grass",249.051332998938,387.658184128271,527.760923573385,347.191459013355,"crops","grass","crops_to_grass",1956
"crops_to_other",2.40796415450246,37.8891292926095,113.595596817163,21.7868456976623,"crops","other","crops_to_other",1956
"crops_to_rough",2.24225894649849,38.2158791170364,127.869803580146,45.377066479785,"crops","rough","crops_to_rough",1956
"crops_to_urban",3.36110667042925,78.9741205837211,187.842490726616,128.029473067214,"crops","urban","crops_to_urban",1956
"crops_to_woods",3.74650881518569,63.9349299715932,177.026977573196,11.1817534145002,"crops","woods","crops_to_woods",1956
"grass_to_crops",489.996505490082,597.741969929737,711.354266193038,557.306634196898,"grass","crops","grass_to_crops",1956
"grass_to_other",1.58810133454367,38.6563173328335,128.402496640394,49.4935155693079,"grass","other","grass_to_other",1956
"grass_to_rough",10.9666220967343,108.27275903107,236.371306633773,152.601246990523,"grass","rough","grass_to_rough",1956
"grass_to_urban",17.3111852308181,134.345172719324,249.024423730301,132.969296062293,"grass","urban","grass_to_urban",1956
"grass_to_woods",29.2895092316109,131.398866166809,259.920670678263,120.445189560535,"grass","woods","grass_to_woods",1956
"other_to_crops",0.457969419068592,16.4029465552644,64.9745627904353,9.26772555244023,"other","crops","other_to_crops",1956
"other_to_grass",1.27617142282963,26.9986274968283,103.70503185817,36.5108460219638,"other","grass","other_to_grass",1956
"other_to_rough",0.69650524559805,20.0352201568784,83.9478410907841,10.1416346546209,"other","rough","other_to_rough",1956
"other_to_urban",0.774440651152409,22.550071225307,93.2295254512624,31.6058680339211,"other","urban","other_to_urban",1956
"other_to_woods",1.39534984917287,32.4789388599958,111.916920694639,18.9018579435175,"other","woods","other_to_woods",1956
"rough_to_crops",1.64829841457201,37.808020925895,117.029152592187,24.4364153972814,"rough","crops","rough_to_crops",1956
"rough_to_grass",138.175540608025,265.253354383809,390.053001696374,260.04346133018,"rough","grass","rough_to_grass",1956
"rough_to_other",1.40437206134013,30.9671538955528,113.189271652874,34.5285101085568,"rough","other","rough_to_other",1956
"rough_to_urban",2.42766466790721,51.4586463884118,173.077466199358,28.8207969037468,"rough","urban","rough_to_urban",1956
"rough_to_woods",18.9884536976833,122.991071660808,241.956734583333,184.624004525361,"rough","woods","rough_to_woods",1956
"urban_to_crops",0.490219462821153,19.6309208537785,70.4422634574685,23.0580975234627,"urban","crops","urban_to_crops",1956
"urban_to_grass",1.89874398408141,36.0132841563156,125.614789099117,65.5022454118246,"urban","grass","urban_to_grass",1956
"urban_to_other",0.43871822523563,21.7655548025134,86.6496014787185,4.59604135258685,"urban","other","urban_to_other",1956
"urban_to_rough",1.35175391595141,19.882206533878,87.7406227543928,9.39326176910242,"urban","rough","urban_to_rough",1956
"urban_to_woods",1.26030190536904,33.0250052787941,116.161442191862,60.3670483318543,"urban","woods","urban_to_woods",1956
"woods_to_crops",0.95897013203825,16.7099969954997,65.5767773863169,3.20640856413873,"woods","crops","woods_to_crops",1956
"woods_to_grass",0.835224002408549,18.6012586065601,79.3989309693043,8.87094145747071,"woods","grass","woods_to_grass",1956
"woods_to_other",0.513325361755584,16.3806547552825,56.165863471844,2.68522833920243,"woods","other","woods_to_other",1956
"woods_to_rough",0.235544263276408,10.6554414362274,40.9271654488667,12.8555345926897,"woods","rough","woods_to_rough",1956
"woods_to_urban",0.572823548831969,16.2447533195093,60.9110427525289,11.0593346763605,"woods","urban","woods_to_urban",1956
"crops_to_grass",310.8532317683,452.575211478875,607.556800616309,497.40849393618,"crops","grass","crops_to_grass",1957
"crops_to_other",0.913167246069817,36.3438584433697,110.284848722724,63.7756544862666,"crops","other","crops_to_other",1957
"crops_to_rough",3.23884237948594,69.4372856730814,200.867387449241,53.6637765190571,"crops","rough","crops_to_rough",1957
"crops_to_urban",9.949656995307,98.8284897314904,210.765356475423,68.5193012336178,"crops","urban","crops_to_urban",1957
"crops_to_woods",8.02613054773158,79.4710691164269,206.105947159342,67.5847859110678,"crops","woods","crops_to_woods",1957
"grass_to_crops",409.133317887444,515.221993421637,642.496440109094,555.265511086096,"grass","crops","grass_to_crops",1957
"grass_to_other",1.08075484183896,28.1405713137946,99.4092995278612,1.29992889214462,"grass","other","grass_to_other",1957
"grass_to_rough",20.5296717030969,145.657898675006,271.338904989013,112.373658259798,"grass","rough","grass_to_rough",1957
"grass_to_urban",15.7550077324936,109.964670563505,238.339474517783,100.508243360271,"grass","urban","grass_to_urban",1957
"grass_to_woods",34.903769264353,147.487495567472,272.73224977903,94.0745663384828,"grass","woods","grass_to_woods",1957
"other_to_crops",0.525465604937213,15.0237649345655,65.9317469214365,4.62901677892418,"other","crops","other_to_crops",1957
"other_to_grass",1.86081719474827,35.6006784270942,123.579320476108,24.9456125252581,"other","grass","other_to_grass",1957
