"u","area_q025","area_q50","area_q975","area_MAP","time"
"woods",37.5672587619,103.685403480041,182.585625706078,68.4197907269715,1976
"crops",1117.91155744082,1268.97718799029,1420.86800360306,1280.43788794169,1977
"grass",1756.53202434386,1930.90924241123,2122.22192642914,2059.43700950686,1977
"other",78.3883468325754,154.396027618697,257.162217186373,106.408031158909,1977
"rough",635.603129871268,778.232152751222,907.511419302706,759.543726960044,1977
"urban",82.4902089600258,172.70000132793,297.536697685499,134.214997964196,1977
"woods",46.9479893189125,109.60441508273,173.075160385397,93.7820785539443,1977
"crops",1258.68149839489,1409.42879919754,1570.14863727462,1387.59964040447,1978
"grass",1822.0322116862,2002.51341289075,2207.17434308841,1920.71523336156,1978
"other",91.4683560493909,180.863591409489,288.098474081177,145.112735637729,1978
"rough",606.598327692706,743.148203480622,882.163421929544,730.56756272682,1978
"urban",118.575044872646,210.324154099266,310.542866732278,129.022812848432,1978
"woods",39.7776729419195,108.467405918669,184.50918992803,90.5797442740053,1978
"crops",1368.29331758287,1503.52983367241,1650.98103843597,1456.91832812848,1979
"grass",1879.23215495916,2069.41870952072,2250.1275875467,2042.49308452344,1979
"other",104.031554811388,181.783448354979,290.585044145306,145.178570656436,1979
"rough",735.71820182238,856.910785011643,970.81163933318,877.411729423582,1979
"urban",92.1083537983351,197.331772804509,297.368078744404,119.221961968314,1979
"woods",52.2085089732921,104.244439707915,182.715718401055,96.352235861173,1979
"crops",1471.22014683162,1632.00430405207,1767.77306505157,1630.23772535357,1980
"grass",2118.5081134163,2282.93805164271,2462.53522455229,2256.84535325402,1980
"other",90.1706116033071,180.526156421414,293.233334791334,90.1779010885374,1980
"rough",668.669370825669,795.532955812593,919.804244448233,767.195563180832,1980
"urban",110.868171710094,208.193736139591,307.581513155662,159.906344147061,1980
"woods",49.6630266076476,104.288174302597,189.469599269403,89.3299723062249,1980
"crops",1402.96455904289,1565.83884837054,1748.97523668272,1536.62469477603,1981
"grass",1898.65157337449,2151.74142249444,2371.79633996967,2153.0021310006,1981
"other",68.2889502498499,150.192391331211,246.617247229134,72.2365948047134,1981
"rough",760.709267944556,895.022516216854,1033.51649683476,861.390503213562,1981
"urban",83.9671833436832,164.843680612815,284.232543534359,113.783341805515,1981
"woods",51.4957807017939,100.23217237983,173.87239448132,84.4637720061465,1981
"crops",1320.69905392515,1479.46794257555,1638.19198316648,1436.99635840254,1982
"grass",1905.41601745659,2089.86460903033,2269.23999159493,2122.54403948332,1982
"other",76.5657548806253,168.637778948337,287.29913952395,125.880816824671,1982
"rough",738.677234141825,846.255450891146,968.29531935819,801.454347900464,1982
"urban",92.2461411255119,186.483024121205,295.295297237417,195.128153738992,1982
"woods",43.7602908838385,104.299977060308,185.830269007197,69.9844033815975,1982
"crops",1323.01046396743,1479.60705956951,1620.11676144831,1405.42900317099,1983
"grass",1729.06794214291,1922.2142989115,2105.71207373713,1831.05486603012,1983
"other",140.516536758955,235.597820614957,349.532527691515,199.518236429517,1983
"rough",574.255510430914,702.598358499697,835.537872388424,758.498231551986,1983
"urban",144.199684994167,264.415516506396,369.523746233663,253.841272449449,1983
"woods",65.8960166184169,125.178394132526,208.433869954048,78.6537735010345,1983
"crops",1099.52085995664,1224.30260803153,1364.79638122924,1214.01490261074,1984
"grass",1897.35184017918,2044.96328674755,2223.01952536515,2128.12214545177,1984
"other",75.5531731050311,158.675577635734,258.500037479321,156.318480715375,1984
"rough",751.674716259069,871.272704115151,1002.06064393342,892.8267555681,1984
"urban",97.5650892687493,197.46399311231,310.581952648971,114.98949553774,1984
"woods",46.2936851320152,104.957252785719,189.813357902446,49.9241531483865,1984
"crops",1030.03347679788,1172.95728408834,1290.11682209284,1119.81316171023,1985
"grass",1899.04132554528,2037.18845361992,2201.92034916428,2102.31832289374,1985
"other",85.3246467293218,160.36037812515,261.43399769985,89.7033673318851,1985
"rough",720.436544458578,837.471765685037,966.322691161073,876.541574610542,1985
"urban",83.6636483446394,191.414672995528,308.876663439857,161.751462362205,1985
"woods",41.8069409054321,93.7582646049054,176.396259071558,56.6608891535599,1985
"crops",1051.61610877714,1180.00675997602,1328.38977336422,1132.57809270054,1986
"grass",1607.60847465599,1780.08458330546,1951.07176961497,1787.10498463555,1986
"other",85.5769967557232,162.484606000428,253.056362605322,124.326989484915,1986
"rough",775.107909141018,886.935795075623,1018.93951435046,834.801883135773,1986
"urban",86.6395213944015,184.901897644673,289.405829366703,195.216471804207,1986
"woods",45.9662874609901,103.002061231752,172.06254166544,54.311623478197,1986
"crops",1021.28509883966,1143.49567087669,1282.41020417316,1074.70477616363,1987
"grass",1476.64704904413,1663.33772782186,1847.40012879974,1671.16221446256,1987
"other",70.2986597933079,162.839638699157,263.972501343133,99.4888592153868,1987
"rough",761.494867710361,885.128063058438,1022.47058143089,840.734045298445,1987
"urban",108.112853268524,207.919892844015,306.831939565251,109.417057696226,1987
"woods",54.4413071999787,108.908439209693,193.586822178617,82.5770699839152,1987
"crops",974.670522710835,1093.10752739937,1210.25513503001,1063.06424660626,1988
"grass",1475.96206910829,1621.41961127185,1774.95519307125,1609.10065676568,1988
"other",77.8684954921795,145.346774641817,248.408359221472,141.312624890326,1988
"rough",742.448187051993,871.510526661119,998.833223478886,884.527515863294,1988
"urban",94.5587451383562,178.279224032462,273.80364203741,114.542657277937,1988
"woods",52.1276635748408,108.150598293899,190.011951688555,87.219769888227,1988
"crops",1058.32429436057,1190.86742642766,1319.02939600109,1136.25820795483,1989
"grass",1279.88000098224,1433.70057847875,1605.04700682274,1478.16151052922,1989
"other",58.4648072445687,136.943560475622,223.184947585913,72.56435734529,1989
"rough",726.60693250981,845.34626807755,971.108340072464,818.17731731375,1989
"urban",81.2053584792531,147.878489159191,230.678912671519,131.390487921255,1989
"woods",43.2530835118709,95.3972275733168,175.783410204051,53.4413271080645,1989
"crops",925.908294910364,1062.29245451129,1172.71572505847,1046.63411985016,1990
"grass",1123.91187730835,1278.7649913779,1408.173770363,1257.59891264003,1990
"other",91.3255546568187,161.173342229187,238.11561143748,135.996223013129,1990
"rough",725.598884312354,842.277576614956,955.31287614005,803.140207772402,1990
"urban",93.6654484418459,169.373802474273,254.178942971255,190.419877428724,1990
"woods",62.799422823353,117.536841539931,194.074701372855,80.4047700032333,1990
"crops",877.530053499528,1007.37427373419,1123.70301608934,991.916965787037,1991
"grass",1211.3688502876,1343.66371238503,1498.96349734496,1264.44227748161,1991
"other",78.2608940580601,147.994406846964,220.747786323575,111.952508814682,1991
"rough",703.554548049453,810.17191721655,926.88126304441,789.051431119469,1991
"urban",76.9177440799687,154.670911903598,241.4049370256,96.5672160881046,1991
"woods",50.41825890487,116.594825808772,202.996567204848,90.3889547002483,1991
"crops",709.221824653963,826.282688666864,933.238380703597,835.100166531778,1992
"grass",1356.84501792551,1503.5259554212,1668.09769227697,1520.85266337649,1992
"other",72.7093476040387,147.588854323477,247.920662719258,140.45965315699,1992
"rough",689.382860151899,794.221584741598,911.089778978212,830.488361752167,1992
"urban",84.2642875388237,162.967782934529,246.008232110254,131.26072697198,1992
"woods",59.0001653518671,119.528410831551,189.576918923135,75.1846998198079,1992
"crops",746.953507749916,867.040038803954,989.471840390132,839.512830574812,1993
"grass",1198.31076220421,1343.50673944957,1497.84869454801,1337.5859603067,1993
"other",73.4308644734392,151.641186483389,236.100886997875,78.7067367408567,1993
"rough",779.943807701795,898.161966998669,1023.65859830042,894.918243177309,1993
"urban",82.1394692026495,156.79829648789,246.838501736694,126.286270700295,1993
"woods",60.9388427019888,125.649427135367,200.061781409519,98.9025090430281,1993
"crops",838.247319167122,948.208920376557,1075.45517065815,944.286534574843,1994
"grass",1174.06011408532,1322.16056509702,1472.72559746483,1258.27837113161,1994
"other",75.6727640513272,138.822766940474,216.778171328798,91.2895889183304,1994
"rough",762.694750676694,876.841823265634,1001.03570002407,881.135488447896,1994
"urban",76.3546717425666,148.718576353779,233.57815070859,112.790791036128,1994
"woods",57.0749423266566,113.225706071481,183.227603470869,51.143465534508,1994
"crops",860.520369398693,978.570104827978,1103.37901894837,959.75109430198,1995
"grass",1220.60814116405,1365.05759551998,1530.5523345727,1359.92501818463,1995
"other",54.6877783556499,118.61774731894,196.772041461447,79.1319001051322,1995
"rough",728.152355689468,850.577303309192,968.509170945659,835.47669048262,1995
"urban",68.0010092408861,143.214682407776,227.209016743501,75.1687828417393,1995
"woods",50.6928097987011,106.014455685165,176.360090892106,98.3513971663463,1995
"crops",744.300151608183,859.937987960565,986.056271184688,787.784705590744,1996
"grass",1207.1805703663,1335.02997598876,1483.64912637951,1365.81234916598,1996
"other",74.874269118678,140.594059450246,222.710239832611,73.7791445378839,1996
"rough",751.387853972461,867.063443417581,983.136915249737,873.926580070618,1996
"urban",84.6656513653306,160.255322479275,252.492193267731,88.8291531538221,1996
"woods",59.5107949122531,122.205217278036,203.540075417405,104.567254943767,1996
"crops",699.227734599305,814.621417447901,923.69351285461,834.996219416147,1997
"grass",1201.47521974817,1331.23316624283,1463.51078963929,1270.11263709015,1997
"other",56.9808390330172,124.820522417394,197.154839471858,40.407531118117,1997
"rough",839.493207411233,951.686848378519,1064.66736353404,960.775717922132,1997
"urban",77.3553525996547,149.159534523649,238.024822654035,70.6179914412382,1997
"woods",51.498003571432,119.286518560976,194.374338306919,74.6012134455413,1997
"crops",803.431834055195,914.974307138135,1032.06064000777,918.099421139684,1998
"grass",1114.5673261628,1253.71314070318,1383.92143410536,1200.25506047945,1998
"other",64.4150051392862,125.254017741897,196.727874010122,79.3632692787379,1998
"rough",765.845922284358,889.270877001735,1023.88209977158,887.069456533048,1998
"urban",79.7971253194685,160.052901621951,246.019620015222,89.8189069524872,1998
"woods",62.0327812352187,124.018025260977,205.779308060764,139.925786121197,1998
"crops",799.061830743474,917.280961730221,1029.54625398182,883.481900082654,1999
"grass",1071.64876245405,1196.62240778438,1325.97326060668,1149.93660307263,1999
"other",63.8078347122213,126.977729514978,197.572562766204,68.3000582162153,1999
"rough",800.765460035927,927.418993652144,1044.37028754947,984.001680803202,1999
"urban",94.3415121226431,163.409796615232,251.768033146072,99.1259558668804,1999
"woods",50.6496799942522,124.993071287821,203.075384113769,109.219703688004,1999
"crops",817.424193422141,916.697137496201,1036.83944165352,918.717923467168,2000
"grass",1139.24160498654,1255.92587541275,1391.55125895726,1254.70027884483,2000
"other",44.2444405042089,100.437297769416,168.232752485728,66.6571350488238,2000
"rough",808.544307507592,931.692736807614,1059.5592478964,905.108681270193,2000
"urban",79.2855948479942,146.057621781874,226.889898844306,128.673859191365,2000
"woods",49.9129221293667,109.155059664057,181.066809222127,54.0493321113434,2000
"crops",799.103786099436,901.307776654042,1014.12043022381,892.488305471513,2001
"grass",1011.93352364161,1138.93228859455,1271.14733703625,1128.11454278793,2001
"other",77.7787315001965,140.008650695696,218.867223293093,95.3536959530135,2001
"rough",777.976992313604,899.154420902058,1014.34760308078,840.330747205037,2001
"urban",101.42743754556,183.820102473378,267.626141743048,116.507157403552,2001
"woods",66.7142698047434,143.69578572164,231.061464183841,132.901769807252,2001
"crops",952.93853133041,1071.39896894275,1199.27200002407,1083.82959032545,2002
"grass",1080.95615726821,1199.82494166832,1334.4862692204,1160.38298479324,2002
"other",54.5909182611832,120.47484223835,192.528548595523,94.7706925179535,2002
"rough",642.797702372861,774.023322775776,894.049814550684,765.296127473857,2002
"urban",87.6092943124452,157.184565911305,246.613627240385,120.871259534698,2002
"woods",61.6862454066482,120.920382352697,194.546113476557,90.7230568447676,2002
"crops",872.745881538397,991.962785769218,1108.38144064292,1011.87539922682,2003
"grass",950.417355438545,1064.33137336432,1201.43290995451,1111.30094686332,2003
"other",64.3402333568307,127.792020120639,214.068578351866,78.3639227881633,2003
"rough",836.995394991094,962.71821948674,1081.78923243767,962.390252816185,2003
"urban",89.4044098332908,163.121477396582,249.051628752213,115.585777104803,2003
"woods",72.0647184671797,141.683985937608,218.177580548043,100.587587095932,2003
"crops",818.723643463862,953.611943165389,1076.69061751562,910.768139724122,2004
"grass",1070.89715081638,1190.85099433928,1329.90208697063,1276.00999849414,2004
"other",67.1184702896959,124.213744073058,196.686329763514,61.1484847356636,2004
"rough",734.422816780952,859.144733817035,979.917553332124,925.740553305485,2004
"urban",80.7580843243574,159.976289124304,243.325188544327,128.610476204521,2004
"woods",64.0026716797506,132.230753772463,214.493529368205,66.9426338925095,2004
"crops",903.450904840239,1028.10063589233,1143.84096698726,1047.31042597418,2005
"grass",987.680449796464,1125.98216633102,1248.16936543185,1119.88131363847,2005
"other",71.0190959298367,133.964315932635,221.241598460714,73.6699274567251,2005
"rough",727.134037970669,830.248495253693,952.116944909478,808.3964364037,2005
"urban",94.411049675495,171.928875198865,258.48547227483,120.72153694675,2005
"woods",75.8340083279121,141.52140077843,218.911201402959,138.320402931678,2005
"crops",1023.40628843227,1160.06894998351,1290.70409836225,1175.87345342365,2006
"grass",939.023947712319,1064.54551749715,1194.64388562503,1078.92124044377,2006
"other",66.0509450640204,133.782233258872,212.942105517727,88.3379924813526,2006
"rough",632.676048340597,758.534609100311,875.943748285217,657.228496312976,2006
"urban",96.3204034566007,179.860401933207,272.092305341538,145.885453908177,2006
"woods",78.2216843540182,145.782725808297,233.608000975215,118.661970541732,2006
"crops",829.808256524827,940.605692206825,1069.55022651748,978.170157202391,2007
"grass",992.895546713622,1143.95332182237,1269.2148863074,1138.16657732263,2007
"other",56.0699228584986,114.257620074126,179.13447256769,87.77629517007,2007
"rough",816.247819532182,944.547850259776,1054.06511514229,960.4181636863,2007
"urban",82.3253630902199,159.459901904866,234.217518951501,136.999016916586,2007
"woods",61.6685412832095,132.756125086623,206.241062277071,99.1885571583012,2007
"crops",871.226845755279,992.48877417225,1138.70185445806,968.894621666181,2008
